Title,address,price,room_detail
【空室1件】 マリオン横浜ハーバーライト,神奈川県横浜市西区平沼１丁目,"52,000円 (管理費4,000円)",803号室 / 1R / 17.38㎡ / 北東
【空室1件】 Hills Sette Isola,神奈川県横浜市神奈川区七島町,"57,000円 (管理費5,000円)",306号室 / 1K / 16.6㎡ / 南
【空室1件】 クレーンイーストヒルズ,神奈川県横浜市鶴見区東寺尾３丁目,"48,000円 (管理費5,000円)",2C号室 / 1R / 15.17㎡ / 南
【空室1件】 ハイム安井弐番館,神奈川県横浜市神奈川区羽沢南１丁目,"63,000円 (管理費3,000円)",201号室 / 2DK / 40㎡ / 南東
【空室3件】 リブリ・リヴェール樽町,神奈川県横浜市港北区樽町４丁目,"78,000円 (管理費4,000円)",110号室 / 1K / 27.32㎡ / 南
【空室1件】 シーガル鶴見,神奈川県横浜市鶴見区鶴見中央２丁目,"59,000円 (管理費6,000円)",503号室 / 1K / 22.41㎡ / -
【空室1件】 トゥージュール　エエム,神奈川県横浜市神奈川区松見町３丁目,"75,000円 (管理費5,150円)",202号室 / 1K / 27.13㎡ / 南東
【空室1件】 ライオンズマンション横浜保土ヶ谷,神奈川県横浜市保土ケ谷区岩崎町,"70,000円 (管理費0円)",０２０４号室 / 1DK / 33.91㎡ / 南西
【空室1件】 リブリ・サンシャイン日光,神奈川県横浜市磯子区森３丁目,"73,000円 (管理費4,000円)",201号室 / 1K / 26.08㎡ / 南
【空室4件】 リヴシティ横濱蒔田弐番館,神奈川県横浜市南区宮元町２丁目,"71,000円 (管理費10,000円)",703号室 / 1K / 21.32㎡ / 北西
【空室1件】 ＶｏｙａｇｅＹｏｋｏｈａｍａ,神奈川県横浜市神奈川区栄町,"66,000円 (管理費3,000円)",102号室 / 1K / 21.4㎡ / -
【空室3件】 ａ・ｃｕｂｅ,神奈川県横浜市青葉区青葉台１丁目,"110,000円 (管理費6,000円)",305号室 / 1LDK / 49.93㎡ / 北東
【空室3件】 ラティエラ横濱鶴見,神奈川県横浜市鶴見区豊岡町,"168,000円 (管理費12,000円)",707号室 / 1LDK / 39.78㎡ / 西
